214	Sp	520	54.33	-121.48	700	3.3	15.2	-9.7	24.9	1047	388	12.7	39.2	1074	1243	161	150	257	107	462	-40.5	33.2	547	112	Sp_520
198	Sp	504	49.01	-115.55	1525	3.1	14.8	-8.6	23.4	902	271	14.5	54.6	984	1116	150	159	252	94	466	-39.5	33.8	584	227	Sp_504
67	Sp	373	59.24	-118.66	545	-3.1	15.2	-24.9	40.1	411	249	16.8	61.1	2931	1017	130	153	241	87	156	-48	34.2	422	173	Sp_373
93	Sp	399	55.5	-112.25	769	-0.4	14.8	-18.9	33.7	490	336	19.6	44	2082	1057	138	158	243	85	134	-46.9	32.7	513	136	Sp_399
127	Sp	433	52.55	-122.1	884	3.7	14.8	-8.1	22.9	487	251	28.1	58.9	919	1204	156	154	252	98	151	-39.8	34.1	576	274	Sp_433
53	Sp	358	57.59	-115.22	458	-0.4	16.3	-21.4	37.7	417	263	23	61.9	2263	1253	150	144	252	108	128	-45.3	34.5	503	204	Sp_358
122	Sp	428	51.96	-120.61	1145	2.6	13.7	-9.3	23	683	281	18.4	48.7	1045	999	143	164	248	84	302	-40.2	32.9	542	202	Sp_428
69	Sp	375	57.3	-118.6	915	-1.4	13.9	-20.4	34.3	458	288	18.8	48.3	2292	939	136	153	243	90	158	-46.3	31.8	460	135	Sp_375
190	Sp	496	51.5	-117.25	975	3.1	15.1	-9.6	24.7	621	211	21.1	71.6	1051	1169	154	155	253	98	309	-40.3	33.8	566	302	Sp_496
135	Sp	441	50.01	-114.83	1500	1.7	13.9	-10.3	24.2	830	338	14.1	41.2	1268	950	136	168	246	78	421	-42.2	32.1	544	127	Sp_441
203	Sp	509	54	-126	1000	2.1	12.9	-10.4	23.3	522	220	23.2	58.6	1121	917	146	164	252	89	226	-40	31.3	490	230	Sp_509
103	Sp	409	56.64	-116.26	670	-0.5	15.3	-20.5	35.8	448	284	21.2	53.9	2189	1130	138	152	242	90	139	-45.4	34.3	528	205	Sp_409
232	Sp	538	53.5	-122.16	890	2.8	13.8	-9.3	23.1	751	360	17	38.3	1030	1049	149	160	250	90	280	-40.7	32.6	530	123	Sp_538
128	Sp	434	50.23	-115.7	950	3.8	16	-9.4	25.4	482	225	28.6	71.1	987	1321	155	153	253	100	182	-40.5	35.3	624	344	Sp_434
209	Sp	515	55.4	-125.76	1433	0.7	11.9	-10.5	22.4	825	355	13	33.5	1351	724	127	169	245	76	412	-41.2	30.9	406	67	Sp_515
249	Sp	555	52.83	-120.93	1585	0.8	11.6	-10.1	21.7	1058	455	10.2	25.5	1270	683	123	175	242	68	535	-41.5	30.5	463	2	Sp_555
180	Sp	486	49.75	-119.41	1300	3.4	14.3	-7.3	21.6	669	275	20	52	882	1097	153	158	254	96	280	-37.2	33.9	570	220	Sp_486
133	Sp	439	49.28	-114.7	2000	0.5	12	-10.1	22.1	1256	427	8.4	28.1	1367	688	129	171	246	75	765	-42.4	29.3	415	40	Sp_439
217	Sp	523	52.96	-122.75	853	3	14	-9.3	23.3	517	272	25.1	51.5	1023	1089	149	159	250	91	175	-41.1	33.1	545	224	Sp_523
27	Sp	332	52.55	-116.08	1372	1.2	13.4	-12.5	25.9	612	400	18.3	33.5	1413	925	133	160	248	88	179	-45.5	31.5	514	49	Sp_332
97	Sp	403	58.03	-116.89	345	-0.4	16.6	-21.4	38	406	254	23.6	65.3	2340	1305	149	144	249	105	126	-47	35.1	525	236	Sp_403
120	Sp	426	59.9	-128.21	600	-2.7	14.8	-23.9	38.7	440	230	16.6	64.5	2770	970	129	166	245	79	199	-52.3	33	447	207	Sp_426
70	Sp	376	57.37	-117.47	671	-0.9	15	-21.1	36.1	441	277	20.6	54.1	2277	1096	139	152	243	91	143	-45.1	33.7	508	193	Sp_376
146	Sp	452	49.48	-120.95	1050	4.2	14.8	-5.7	20.5	1848	477	7.7	31	725	1191	166	157	262	104	800	-35	34.1	575	88	Sp_452
242	Sp	548	49.65	-121	1100	4.1	14.7	-5.7	20.4	2238	548	6.3	26.8	741	1177	166	156	261	105	992	-35.2	33.8	566	65	Sp_548
